user_id;service_name;service_category;price_min;price_max;date_of_payment;number_of_payments
13;Nintendo Switch Online;Games;4;4;10;4
13;Netflix;Video Streaming;14;14;28;4
13;YouTube Music;Music;7;7;20;11
13;Arialo;Water Supplier;30;60;17;4
14;Wall Street Journal;Digital Magazine;20;20;20;3
14;Netflix;Video Streaming;14;14;17;5
14;Spotify;Music;10;10;15;11
14;Boro;Water Supplier;35;70;15;8
15;App Store;Store;5;20;21;3
15;Amazon Prime;Amazon;13;13;17;4
15;Sony PlayStation Plus;Games;7;7;28;3
15;Spotify;Music;10;10;17;12
15;Boro;Water Supplier;35;70;22;12
16;Amazon Prime;Amazon;13;13;23;5
16;Microsoft Xbox Game Pass;Games;10;10;15;11
16;Disney+;Video Streaming;7;7;17;11
16;Spotify;Music;10;10;7;7
16;Boro;Water Supplier;35;70;18;2
17;App Store;Store;5;20;10;9
17;Doc Online;Health;10;24;12;8
17;Nintendo Switch Online;Games;4;4;26;11
17;Amazon Prime Video;Video Streaming;9;9;5;12
17;Spotify;Music;10;10;27;10
17;Arialo;Water Supplier;30;60;26;8
17;Clean Me;House;56;56;3;12
18;App Store;Store;5;20;4;5
18;Home Chief;Food;60;60;16;12
18;New York Times;Digital Magazine;4;4;3;6
18;Cooorsera;Online Education;8;8;24;12
18;Netflix;Video Streaming;14;14;13;12
18;Spotify;Music;10;10;10;11
18;Deliveroo Plus;Food;14;14;8;9
18;Birto;Water Supplier;35;65;23;3
18;Qulean;House;80;80;8;9
19;YouTube;Video Streaming;12;12;10;9
19;App Store;Store;5;20;26;9
19;Fitness+;Health;8;8;21;2
19;Netflix;Video Streaming;14;14;5;9
19;Amazon Music;Music;8;8;16;10
19;Boro;Water Supplier;35;70;1;10
20;App Store;Store;5;20;11;12
20;Amazon Prime;Amazon;13;13;17;2
20;Nintendo Switch Online;Games;4;4;11;7
20;Spotify;Music;10;10;22;2
20;Birto;Water Supplier;35;65;4;8
21;Amazon Prime;Amazon;13;13;3;8
21;Wall Street Journal;Digital Magazine;20;20;23;7
21;Spotify;Music;10;10;6;6
21;Birto;Water Supplier;35;65;2;3
22;App Store;Store;5;20;8;11
22;Amazon Prime;Amazon;13;13;1;11
22;Nintendo Switch Online;Games;4;4;10;7
22;Amazon Prime Video;Video Streaming;9;9;3;12
22;Birto;Water Supplier;35;65;14;9
23;Amazon Prime;Amazon;13;13;5;9
23;Doc Online;Health;10;24;8;10
23;PlayStation Now;Games;10;10;11;11
23;Microsoft Xbox Game Pass;Games;10;10;28;7
23;Disney+;Video Streaming;7;7;19;11
23;Amazon Music;Music;8;8;19;5
23;Arialo;Water Supplier;30;60;17;10
24;App Store;Store;5;20;12;7
24;New York Times;Digital Magazine;4;4;19;5
24;Netflix;Video Streaming;14;14;25;5
24;Spotify;Music;10;10;22;2
24;Birto;Water Supplier;35;65;4;6
25;Home Chief;Food;60;60;16;5
25;Month of Cloth;Cloth;30;30;22;10
25;Nintendo Switch Online;Games;4;4;15;5
25;Disney+;Video Streaming;7;7;17;9
25;Birto;Water Supplier;35;65;26;3
26;Amazon Prime;Amazon;13;13;11;12
26;Netflix;Video Streaming;14;14;26;8
26;Birto;Water Supplier;35;65;21;10
27;App Store;Store;5;20;13;3
27;Financial Times;Digital Magazine;12;12;2;7
27;Netflix;Video Streaming;14;14;7;5
27;Spotify;Music;10;10;17;9
27;Birto;Water Supplier;35;65;13;11
28;Amazon Prime;Amazon;13;13;15;5
28;Fitness+;Health;8;8;5;3
28;New York Times;Digital Magazine;4;4;5;4
28;Cooorsera;Online Education;8;8;26;8
28;Spotify;Music;10;10;23;12
28;Arialo;Water Supplier;30;60;25;2
29;App Store;Store;5;20;16;7
29;Amazon Prime;Amazon;13;13;28;6
30;YouTube;Video Streaming;12;12;13;2
30;Amazon Prime;Amazon;13;13;15;2
30;Sony PlayStation Plus;Games;7;7;20;9
30;Netflix;Video Streaming;14;14;17;11
30;Spotify;Music;10;10;3;11
30;Birto;Water Supplier;35;65;5;8
31;App Store;Store;5;20;27;3
31;Amazon Prime;Amazon;13;13;11;12
31;Sephora Play;Beauty;16;16;28;5
31;Netflix;Video Streaming;14;14;15;5
31;Birto;Water Supplier;35;65;16;8
32;App Store;Store;5;20;3;11
32;Amazon Prime;Amazon;13;13;20;12
32;New York Times;Digital Magazine;4;4;6;8
32;Spotify;Music;10;10;2;12
32;Birto;Water Supplier;35;65;11;12
32;Clean Me;House;56;56;20;12
33;App Store;Store;5;20;24;7
33;Amazon Prime;Amazon;13;13;10;10
33;Fitness+;Health;8;8;17;6
33;New York Times;Digital Magazine;4;4;1;3
33;Disney+;Video Streaming;7;7;20;2
33;Spotify;Music;10;10;18;11
33;Boro;Water Supplier;35;70;21;10
34;Wall Street Journal;Digital Magazine;20;20;13;4
34;Disney+;Video Streaming;7;7;4;8
34;Spotify;Music;10;10;17;11
34;Birto;Water Supplier;35;65;26;11
35;Amazon Prime;Amazon;13;13;4;5
35;Financial Times;Digital Magazine;12;12;19;11
35;Netflix;Video Streaming;14;14;25;10
35;Spotify;Music;10;10;3;3
35;Get Food;Food;12;12;20;2
35;Arialo;Water Supplier;30;60;1;10
35;Clean Me;House;56;56;16;8
36;App Store;Store;5;20;10;7
36;Nintendo Switch Online;Games;4;4;23;3
36;Cooorsera;Online Education;8;8;20;9
36;Netflix;Video Streaming;14;14;18;10
36;Get Food;Food;12;12;3;4
36;Boro;Water Supplier;35;70;9;4
37;Sephora Play;Beauty;16;16;12;2
37;Learn Now;Online Education;12;12;1;5
37;Netflix;Video Streaming;14;14;4;11
37;Spotify;Music;10;10;3;7
37;Boro;Water Supplier;35;70;27;2
38;New York Times;Digital Magazine;4;4;19;8
38;Disney+;Video Streaming;7;7;27;2
38;Spotify;Music;10;10;24;8
38;Deliveroo Plus;Food;14;14;5;5
38;Boro;Water Supplier;35;70;2;2
38;Clean Me;House;56;56;25;4
39;Financial Times;Digital Magazine;12;12;5;2
39;Learn Now;Online Education;12;12;16;8
39;Amazon Prime Video;Video Streaming;9;9;4;11
39;Amazon Music;Music;8;8;9;9
39;Boro;Water Supplier;35;70;8;4
40;App Store;Store;5;20;24;11
40;New York Times;Digital Magazine;4;4;13;10
40;Cooorsera;Online Education;8;8;20;10
40;Amazon Prime Video;Video Streaming;9;9;20;9
40;Amazon Music;Music;8;8;23;5
40;Boro;Water Supplier;35;70;22;11
42;App Store;Store;5;20;16;9
43;App Store;Store;5;20;7;9
43;Wall Street Journal;Digital Magazine;20;20;11;2
43;Amazon Prime Video;Video Streaming;9;9;8;11
43;Spotify;Music;10;10;12;4
43;Get Food;Food;12;12;22;6
43;Arialo;Water Supplier;30;60;17;4
44;App Store;Store;5;20;9;11
44;Microsoft Xbox Game Pass;Games;10;10;16;3
44;Arialo;Water Supplier;30;60;7;11
44;Clean Me;House;56;56;3;7
45;App Store;Store;5;20;19;5
45;Amazon Prime;Amazon;13;13;24;11
45;Sephora Play;Beauty;16;16;21;4
45;Cutie;Beauty;12;12;5;4
45;Netflix;Video Streaming;14;14;18;9
45;Spotify;Music;10;10;5;3
45;Arialo;Water Supplier;30;60;7;3
46;App Store;Store;5;20;20;5
46;Amazon Prime;Amazon;13;13;24;11
46;Fitness+;Health;8;8;25;3
47;App Store;Store;5;20;26;6
47;Amazon Prime;Amazon;13;13;5;3
47;Sony PlayStation Plus;Games;7;7;1;11
47;Amazon Prime Video;Video Streaming;9;9;25;3
47;Boro;Water Supplier;35;70;17;4
48;App Store;Store;5;20;17;11
48;Amazon Prime;Amazon;13;13;20;9
48;Lora;Beauty;15;15;12;10
48;Learn Now;Online Education;12;12;28;3
48;Netflix;Video Streaming;14;14;2;10
48;Amazon Music;Music;8;8;28;7
48;Birto;Water Supplier;35;65;28;4
49;YouTube;Video Streaming;12;12;4;2
49;Amazon Prime;Amazon;13;13;2;7
49;Netflix;Video Streaming;14;14;16;9
49;Spotify;Music;10;10;10;3
49;Arialo;Water Supplier;30;60;26;5
49;Qulean;House;80;80;13;2
50;App Store;Store;5;20;9;2
50;Breath Good;Home;9;9;4;4
50;Nintendo Switch Online;Games;4;4;26;9
50;Netflix;Video Streaming;14;14;20;8
50;Spotify;Music;10;10;10;2
50;Birto;Water Supplier;35;65;25;9
51;YouTube;Video Streaming;12;12;3;4
51;Amazon Prime;Amazon;13;13;3;8
52;App Store;Store;5;20;27;4
52;Amazon Prime;Amazon;13;13;1;12
52;Nintendo Switch Online;Games;4;4;4;6
52;Netflix;Video Streaming;14;14;20;8
52;Amazon Music;Music;8;8;2;8
52;Birto;Water Supplier;35;65;11;6
53;New York Times;Digital Magazine;4;4;17;12
53;Cooorsera;Online Education;8;8;4;7
53;Disney+;Video Streaming;7;7;7;9
53;Amazon Music;Music;8;8;26;11
53;Arialo;Water Supplier;30;60;22;5
54;App Store;Store;5;20;23;6
55;App Store;Store;5;20;23;6
55;Amazon Prime;Amazon;13;13;9;6
55;Doc Online;Health;10;24;28;10
56;Amazon Prime;Amazon;13;13;19;12
56;Fitness+;Health;8;8;26;2
58;Amazon Prime;Amazon;13;13;26;7
58;New York Times;Digital Magazine;4;4;27;7
58;Cooorsera;Online Education;8;8;13;4
58;Netflix;Video Streaming;14;14;25;11
58;Spotify;Music;10;10;1;4
58;Get Food;Food;12;12;26;5
58;Birto;Water Supplier;35;65;8;10
60;Amazon Prime;Amazon;13;13;19;4
61;App Store;Store;5;20;2;12
61;Fitness+;Health;8;8;26;11
61;New York Times;Digital Magazine;4;4;11;7
61;Netflix;Video Streaming;14;14;27;3
61;Spotify;Music;10;10;12;7
61;Get Food;Food;12;12;6;9
61;Boro;Water Supplier;35;70;25;5
62;App Store;Store;5;20;16;10
62;Sony PlayStation Plus;Games;7;7;12;3
62;Amazon Prime Video;Video Streaming;9;9;6;11
62;Spotify;Music;10;10;2;10
62;Boro;Water Supplier;35;70;1;9
63;Amazon Prime;Amazon;13;13;26;4
63;Doc Online;Health;10;24;16;6
63;New York Times;Digital Magazine;4;4;11;6
63;Amazon Prime Video;Video Streaming;9;9;4;10
63;Amazon Music;Music;8;8;17;5
63;Get Food;Food;12;12;22;3
63;Birto;Water Supplier;35;65;22;11
64;App Store;Store;5;20;1;4
64;Wall Street Journal;Digital Magazine;20;20;10;5
64;Spotify;Music;10;10;17;3
64;Boro;Water Supplier;35;70;27;12
65;App Store;Store;5;20;18;2
65;Microsoft Xbox Game Pass;Games;10;10;27;9
65;Netflix;Video Streaming;14;14;20;5
65;Spotify;Music;10;10;9;9
65;Birto;Water Supplier;35;65;10;3
66;Amazon Prime;Amazon;13;13;17;4
66;Sony PlayStation Plus;Games;7;7;16;12
66;Netflix;Video Streaming;14;14;2;6
66;Spotify;Music;10;10;18;3
66;Boro;Water Supplier;35;70;2;8
67;App Store;Store;5;20;9;4
68;App Store;Store;5;20;14;2
68;Fitness+;Health;8;8;28;5
68;Wall Street Journal;Digital Magazine;20;20;6;7
68;Netflix;Video Streaming;14;14;4;7
68;Spotify;Music;10;10;8;12
68;Arialo;Water Supplier;30;60;27;7
69;YouTube;Video Streaming;12;12;11;10
69;App Store;Store;5;20;12;2
69;Amazon Prime;Amazon;13;13;15;5
69;Sony PlayStation Plus;Games;7;7;14;9
69;Cooorsera;Online Education;8;8;17;9
69;Disney+;Video Streaming;7;7;23;3
69;Amazon Music;Music;8;8;16;10
69;Boro;Water Supplier;35;70;20;10
70;App Store;Store;5;20;3;10
70;Amazon Prime;Amazon;13;13;28;10
70;Fitness+;Health;8;8;10;5
70;Cutie;Beauty;12;12;23;2
70;Disney+;Video Streaming;7;7;21;8
70;Spotify;Music;10;10;13;11
70;Birto;Water Supplier;35;65;27;12
71;App Store;Store;5;20;6;11
71;Amazon Prime;Amazon;13;13;13;3
71;Sony PlayStation Plus;Games;7;7;26;8
71;Netflix;Video Streaming;14;14;20;11
71;Spotify;Music;10;10;9;4
71;Arialo;Water Supplier;30;60;26;10
72;Amazon Prime;Amazon;13;13;28;12
72;Sephora Play;Beauty;16;16;15;7
72;Disney+;Video Streaming;7;7;20;3
72;Spotify;Music;10;10;28;9
72;Boro;Water Supplier;35;70;5;8
73;Amazon Prime;Amazon;13;13;16;5
74;App Store;Store;5;20;11;7
74;New York Times;Digital Magazine;4;4;9;4
74;Netflix;Video Streaming;14;14;25;6
74;Spotify;Music;10;10;10;8
74;Arialo;Water Supplier;30;60;11;12
75;App Store;Store;5;20;25;12
75;Fitness+;Health;8;8;6;3
75;Home Chief;Food;60;60;26;9
75;New York Times;Digital Magazine;4;4;27;12
75;Learn Now;Online Education;12;12;6;8
75;Netflix;Video Streaming;14;14;24;3
75;Arialo;Water Supplier;30;60;26;6
76;YouTube;Video Streaming;12;12;14;9
76;Amazon Prime;Amazon;13;13;12;10
76;Sephora Play;Beauty;16;16;7;8
76;Cutie;Beauty;12;12;1;3
76;Cooorsera;Online Education;8;8;27;4
76;Disney+;Video Streaming;7;7;7;7
76;Spotify;Music;10;10;9;6
76;Deliveroo Plus;Food;14;14;21;5
76;Birto;Water Supplier;35;65;9;5
77;Financial Times;Digital Magazine;12;12;12;11
77;Amazon Prime Video;Video Streaming;9;9;9;9
77;Spotify;Music;10;10;3;3
77;Boro;Water Supplier;35;70;4;12
78;Amazon Prime;Amazon;13;13;14;8
78;Cutie;Beauty;12;12;8;2
78;Netflix;Video Streaming;14;14;28;12
78;Spotify;Music;10;10;19;2
78;Birto;Water Supplier;35;65;23;3
79;Amazon Prime;Amazon;13;13;19;12
79;Nintendo Switch Online;Games;4;4;24;12
79;Netflix;Video Streaming;14;14;1;6
79;Spotify;Music;10;10;2;8
79;Get Food;Food;12;12;26;10
79;Birto;Water Supplier;35;65;27;12
80;YouTube;Video Streaming;12;12;28;3
80;App Store;Store;5;20;13;4
80;Amazon Prime;Amazon;13;13;2;4
80;Financial Times;Digital Magazine;12;12;4;2
80;Disney+;Video Streaming;7;7;24;7
80;Spotify;Music;10;10;16;6
80;Birto;Water Supplier;35;65;4;10
81;App Store;Store;5;20;14;11
81;Sony PlayStation Plus;Games;7;7;4;7
81;Cooorsera;Online Education;8;8;21;6
81;Amazon Prime Video;Video Streaming;9;9;26;8
81;YouTube Music;Music;7;7;12;9
81;Arialo;Water Supplier;30;60;16;9
82;App Store;Store;5;20;21;10
82;Sony PlayStation Plus;Games;7;7;5;11
82;Netflix;Video Streaming;14;14;13;12
82;Arialo;Water Supplier;30;60;13;10
83;New York Times;Digital Magazine;4;4;19;4
83;Disney+;Video Streaming;7;7;14;8
83;Spotify;Music;10;10;14;4
83;Get Food;Food;12;12;25;4
83;Boro;Water Supplier;35;70;3;3
84;Amazon Prime;Amazon;13;13;19;9
84;Sony PlayStation Plus;Games;7;7;7;7
84;Netflix;Video Streaming;14;14;21;9
84;Spotify;Music;10;10;26;10
84;Boro;Water Supplier;35;70;4;11
85;Amazon Prime;Amazon;13;13;24;12
86;Amazon Prime;Amazon;13;13;8;9
87;App Store;Store;5;20;15;4
87;Amazon Prime;Amazon;13;13;16;12
87;New York Times;Digital Magazine;4;4;8;8
87;Netflix;Video Streaming;14;14;4;11
87;Spotify;Music;10;10;17;4
87;Birto;Water Supplier;35;65;26;12
88;Amazon Prime;Amazon;13;13;28;5
88;Wall Street Journal;Digital Magazine;20;20;24;6
88;Cooorsera;Online Education;8;8;5;8
88;Arialo;Water Supplier;30;60;28;9
89;Amazon Prime;Amazon;13;13;5;7
89;Microsoft Xbox Game Pass;Games;10;10;4;10
89;Amazon Prime Video;Video Streaming;9;9;27;4
89;Spotify;Music;10;10;28;10
89;Arialo;Water Supplier;30;60;22;11
90;Amazon Prime;Amazon;13;13;13;10
90;Microsoft Xbox Game Pass;Games;10;10;25;10
90;Netflix;Video Streaming;14;14;24;12
90;Spotify;Music;10;10;4;2
90;Arialo;Water Supplier;30;60;7;10
91;Amazon Prime;Amazon;13;13;11;7
91;Doc Online;Health;10;24;1;2
91;Sony PlayStation Plus;Games;7;7;21;9
91;Netflix;Video Streaming;14;14;15;3
91;Spotify;Music;10;10;10;6
91;Deliveroo Plus;Food;14;14;16;4
91;Boro;Water Supplier;35;70;15;10
92;Amazon Prime;Amazon;13;13;23;9
92;New York Times;Digital Magazine;4;4;8;10
92;Cooorsera;Online Education;8;8;19;2
92;Netflix;Video Streaming;14;14;19;6
92;Spotify;Music;10;10;26;9
92;Deliveroo Plus;Food;14;14;8;2
92;Boro;Water Supplier;35;70;4;10
93;App Store;Store;5;20;15;11
93;Microsoft Xbox Game Pass;Games;10;10;10;6
93;Cooorsera;Online Education;8;8;11;2
93;Netflix;Video Streaming;14;14;4;9
93;Arialo;Water Supplier;30;60;8;3
94;Amazon Prime;Amazon;13;13;17;9
94;Doc Online;Health;10;24;20;10
94;Nintendo Switch Online;Games;4;4;15;8
94;Cooorsera;Online Education;8;8;4;9
94;Amazon Prime Video;Video Streaming;9;9;4;11
94;Spotify;Music;10;10;20;4
94;Birto;Water Supplier;35;65;18;2
95;YouTube;Video Streaming;12;12;28;2
95;Fitness+;Health;8;8;13;10
96;App Store;Store;5;20;2;11
96;Amazon Prime;Amazon;13;13;26;12
96;Breath Good;Home;9;9;10;2
96;Wall Street Journal;Digital Magazine;20;20;28;11
96;Spotify;Music;10;10;24;2
96;Arialo;Water Supplier;30;60;8;4
97;New York Times;Digital Magazine;4;4;7;8
97;Netflix;Video Streaming;14;14;1;9
97;Google Play Music;Music;10;10;12;12
97;Get Food;Food;12;12;2;6
97;Boro;Water Supplier;35;70;12;3
98;App Store;Store;5;20;5;12
98;Amazon Prime;Amazon;13;13;17;8
98;Sephora Play;Beauty;16;16;18;2
98;Disney+;Video Streaming;7;7;28;12
98;Spotify;Music;10;10;20;10
98;Boro;Water Supplier;35;70;16;4
99;YouTube;Video Streaming;12;12;2;7
99;Amazon Prime;Amazon;13;13;24;8
100;App Store;Store;5;20;4;4
100;Amazon Prime;Amazon;13;13;9;12
100;New York Times;Digital Magazine;4;4;17;2
100;Netflix;Video Streaming;14;14;23;9
100;Amazon Music;Music;8;8;16;6
100;Arialo;Water Supplier;30;60;13;7
101;App Store;Store;5;20;15;4
101;Amazon Prime;Amazon;13;13;25;10
101;Microsoft Xbox Game Pass;Games;10;10;7;4
101;Disney+;Video Streaming;7;7;18;4
101;Spotify;Music;10;10;18;7
101;Arialo;Water Supplier;30;60;23;8
102;App Store;Store;5;20;2;4
102;Sony PlayStation Plus;Games;7;7;2;3
102;Disney+;Video Streaming;7;7;8;2
102;Spotify;Music;10;10;6;12
102;Boro;Water Supplier;35;70;9;6
103;App Store;Store;5;20;16;8
103;Amazon Prime;Amazon;13;13;22;3
103;Fitness+;Health;8;8;28;11
103;PlayStation Now;Games;10;10;17;6
103;Microsoft Xbox Game Pass;Games;10;10;15;5
103;Disney+;Video Streaming;7;7;16;10
103;Spotify;Music;10;10;19;4
103;Get Food;Food;12;12;25;3
103;Arialo;Water Supplier;30;60;25;12
104;App Store;Store;5;20;5;10
104;Amazon Prime;Amazon;13;13;26;4
104;Sony PlayStation Plus;Games;7;7;28;8
104;Spotify;Music;10;10;6;2
104;Arialo;Water Supplier;30;60;28;3
105;App Store;Store;5;20;27;5
105;Amazon Prime;Amazon;13;13;10;12
105;New York Times;Digital Magazine;4;4;10;10
105;Amazon Prime Video;Video Streaming;9;9;23;4
105;Spotify;Music;10;10;13;2
105;Birto;Water Supplier;35;65;1;4
106;Fitness+;Health;8;8;7;4
106;Sony PlayStation Plus;Games;7;7;17;8
106;Netflix;Video Streaming;14;14;26;4
106;Google Play Music;Music;10;10;7;4
106;Arialo;Water Supplier;30;60;13;10
107;Sony PlayStation Plus;Games;7;7;24;2
107;Netflix;Video Streaming;14;14;12;10
107;Deliveroo Plus;Food;14;14;15;5
107;Birto;Water Supplier;35;65;24;7
109;YouTube;Video Streaming;12;12;2;11
109;Amazon Prime;Amazon;13;13;18;9
109;Financial Times;Digital Magazine;12;12;12;8
109;Cooorsera;Online Education;8;8;3;11
109;Netflix;Video Streaming;14;14;6;11
109;Google Play Music;Music;10;10;28;4
109;Boro;Water Supplier;35;70;23;8
109;Qulean;House;80;80;20;6
110;App Store;Store;5;20;23;10
110;Amazon Prime;Amazon;13;13;22;2
110;New York Times;Digital Magazine;4;4;2;9
110;Cooorsera;Online Education;8;8;6;8
110;Netflix;Video Streaming;14;14;25;6
110;Amazon Music;Music;8;8;6;9
110;Arialo;Water Supplier;30;60;13;4
111;New York Times;Digital Magazine;4;4;25;3
111;Netflix;Video Streaming;14;14;25;6
111;YouTube Music;Music;7;7;6;7
111;Arialo;Water Supplier;30;60;13;11
112;App Store;Store;5;20;21;7
112;Amazon Prime;Amazon;13;13;20;2
112;Wall Street Journal;Digital Magazine;20;20;22;7
112;Spotify;Music;10;10;23;11
112;Deliveroo Plus;Food;14;14;9;3
112;Boro;Water Supplier;35;70;21;5
113;Sony PlayStation Plus;Games;7;7;26;4
113;Disney+;Video Streaming;7;7;20;2
113;Spotify;Music;10;10;11;2
113;Boro;Water Supplier;35;70;27;5
114;Amazon Prime;Amazon;13;13;28;2
114;Doc Online;Health;10;24;15;3
114;New York Times;Digital Magazine;4;4;10;12
114;Netflix;Video Streaming;14;14;14;9
114;Spotify;Music;10;10;24;9
114;Arialo;Water Supplier;30;60;16;7
115;YouTube;Video Streaming;12;12;17;3
115;Amazon Prime;Amazon;13;13;4;12
115;Nintendo Switch Online;Games;4;4;12;6
115;Cooorsera;Online Education;8;8;2;7
115;Netflix;Video Streaming;14;14;1;4
115;Spotify;Music;10;10;12;4
115;Deliveroo Plus;Food;14;14;25;5
115;Arialo;Water Supplier;30;60;13;11
116;YouTube;Video Streaming;12;12;5;11
116;App Store;Store;5;20;5;2
117;App Store;Store;5;20;4;11
117;Amazon Prime;Amazon;13;13;8;3
118;Amazon Prime;Amazon;13;13;19;12
118;Sony PlayStation Plus;Games;7;7;17;7
118;Netflix;Video Streaming;14;14;15;10
118;Spotify;Music;10;10;22;10
118;Boro;Water Supplier;35;70;9;9
119;App Store;Store;5;20;22;2
119;Lora;Beauty;15;15;22;8
119;Birto;Water Supplier;35;65;20;4
120;Amazon Prime;Amazon;13;13;13;2
120;Sony PlayStation Plus;Games;7;7;23;4
120;Spotify;Music;10;10;25;5
120;Birto;Water Supplier;35;65;23;3
121;Doc Online;Health;10;24;5;9
121;Sony PlayStation Plus;Games;7;7;19;5
121;Netflix;Video Streaming;14;14;1;4
121;Birto;Water Supplier;35;65;4;6
121;Clean Me;House;56;56;6;11
122;App Store;Store;5;20;15;3
122;Breath Good;Home;9;9;4;10
122;Lora;Beauty;15;15;24;3
122;Amazon Music;Music;8;8;5;11
122;Boro;Water Supplier;35;70;23;6
123;Fitness+;Health;8;8;28;5
124;YouTube;Video Streaming;12;12;14;12
124;App Store;Store;5;20;9;12
124;Amazon Prime;Amazon;13;13;7;7
124;Doc Online;Health;10;24;17;12
124;Microsoft Xbox Game Pass;Games;10;10;2;6
124;Amazon Prime Video;Video Streaming;9;9;9;11
124;Spotify;Music;10;10;9;7
124;Arialo;Water Supplier;30;60;8;11
125;YouTube;Video Streaming;12;12;7;12
125;New York Times;Digital Magazine;4;4;23;2
125;Netflix;Video Streaming;14;14;2;7
125;Amazon Music;Music;8;8;13;9
125;Get Food;Food;12;12;28;12
125;Boro;Water Supplier;35;70;23;11
126;YouTube;Video Streaming;12;12;12;12
126;App Store;Store;5;20;11;6
126;Amazon Prime;Amazon;13;13;16;12
126;Microsoft Xbox Game Pass;Games;10;10;21;4
126;Netflix;Video Streaming;14;14;22;5
126;Spotify;Music;10;10;19;11
126;Arialo;Water Supplier;30;60;20;2
127;Amazon Prime;Amazon;13;13;7;10
128;Nintendo Switch Online;Games;4;4;21;9
128;Netflix;Video Streaming;14;14;10;5
128;Spotify;Music;10;10;6;2
128;Boro;Water Supplier;35;70;2;9
128;Clean Me;House;56;56;17;8
129;App Store;Store;5;20;10;9
129;Amazon Prime;Amazon;13;13;15;2
129;Microsoft Xbox Game Pass;Games;10;10;15;10
129;Amazon Prime Video;Video Streaming;9;9;28;4
129;YouTube Music;Music;7;7;5;11
129;Arialo;Water Supplier;30;60;4;5
129;Clean Me;House;56;56;23;12
130;App Store;Store;5;20;5;7
130;Amazon Prime;Amazon;13;13;8;10
130;Microsoft Xbox Game Pass;Games;10;10;15;6
130;Netflix;Video Streaming;14;14;4;2
130;Amazon Music;Music;8;8;5;6
130;Boro;Water Supplier;35;70;22;11
131;YouTube;Video Streaming;12;12;6;12
131;App Store;Store;5;20;5;8
131;Amazon Prime;Amazon;13;13;24;4
131;Fitness+;Health;8;8;7;6
131;Sony PlayStation Plus;Games;7;7;12;6
131;Netflix;Video Streaming;14;14;12;11
131;Arialo;Water Supplier;30;60;7;5
132;App Store;Store;5;20;6;6
132;PlayStation Now;Games;10;10;4;5
132;Microsoft Xbox Game Pass;Games;10;10;8;10
132;Netflix;Video Streaming;14;14;9;11
132;Spotify;Music;10;10;14;11
132;Birto;Water Supplier;35;65;6;11
133;YouTube;Video Streaming;12;12;25;7
133;Amazon Prime;Amazon;13;13;9;10
133;Fitness+;Health;8;8;10;3
134;App Store;Store;5;20;15;12
134;Amazon Prime;Amazon;13;13;10;6
135;App Store;Store;5;20;24;4
135;Amazon Prime;Amazon;13;13;6;11
